,word,meaning,source
20,advance,"('A forward move; improvement or progression.',)",https://api.dictionaryapi.dev/api/v2/entries/en/advance
21,advantage,"('Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end.',)",https://api.dictionaryapi.dev/api/v2/entries/en/advantage
22,adventure,"('The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat.',)",https://api.dictionaryapi.dev/api/v2/entries/en/adventure
23,advice,"('An opinion offered in an effort to be helpful.',)",https://api.dictionaryapi.dev/api/v2/entries/en/advice
24,affair,"('(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public.',)",https://api.dictionaryapi.dev/api/v2/entries/en/affair
25,affect,"('To influence or alter.',)",https://api.dictionaryapi.dev/api/v2/entries/en/affect
26,afford,"('To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an auxiliary, as can, could, might, etc.; to be able or rich enough.',)",https://api.dictionaryapi.dev/api/v2/entries/en/afford
27,afraid,"('(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear.',)",https://api.dictionaryapi.dev/api/v2/entries/en/afraid
28,after,"('Later; second (of two); next, following, subsequent',)",https://api.dictionaryapi.dev/api/v2/entries/en/after
29,afternoon,"('The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm.',)",https://api.dictionaryapi.dev/api/v2/entries/en/afternoon
30,again,"('Another time; once more.',)",https://api.dictionaryapi.dev/api/v2/entries/en/again
31,against,"('In a contrary direction to.',)",https://api.dictionaryapi.dev/api/v2/entries/en/against
32,age,"('The whole duration of a being, whether animal, plant, or other kind, being alive.',)",https://api.dictionaryapi.dev/api/v2/entries/en/age
33,agent,"('One who exerts power, or has the power to act',)",https://api.dictionaryapi.dev/api/v2/entries/en/agent
34,ago,"('Gone; gone by; gone away; passed; passed away.',)",https://api.dictionaryapi.dev/api/v2/entries/en/ago
35,agree,"('To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur.',)",https://api.dictionaryapi.dev/api/v2/entries/en/agree
36,ahead,"('In or to the front; in advance; onward.',)",https://api.dictionaryapi.dev/api/v2/entries/en/ahead
37,aim,"('The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.',)",https://api.dictionaryapi.dev/api/v2/entries/en/aim
38,air,"(""The substance constituting earth's atmosphere, particularly:"",)",https://api.dictionaryapi.dev/api/v2/entries/en/air
39,airport,"('An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.',)",https://api.dictionaryapi.dev/api/v2/entries/en/airport
40,alive,"('Having life; living; not dead',)",https://api.dictionaryapi.dev/api/v2/entries/en/alive
41,all,"('(with a possessive pronoun) Everything that one is capable of.',)",https://api.dictionaryapi.dev/api/v2/entries/en/all
42,allow,"('To grant, give, admit, accord, afford, or yield; to let one have.',)",https://api.dictionaryapi.dev/api/v2/entries/en/allow
43,almost,"(""Something or someone that doesn't quite make it."",)",https://api.dictionaryapi.dev/api/v2/entries/en/almost
44,alone,"('By oneself, solitary.',)",https://api.dictionaryapi.dev/api/v2/entries/en/alone
45,along,"('In company; together.',)",https://api.dictionaryapi.dev/api/v2/entries/en/along
46,already,"('Prior to some specified time, either past, present, or future; by this time; previously.',)",https://api.dictionaryapi.dev/api/v2/entries/en/already
47,also,"('(focus) In addition; besides; as well; further; too.',)",https://api.dictionaryapi.dev/api/v2/entries/en/also
48,although,"('Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.',)",https://api.dictionaryapi.dev/api/v2/entries/en/although
49,always,"('At all times; throughout all time; since the beginning.',)",https://api.dictionaryapi.dev/api/v2/entries/en/always
50,among,"('Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst.)',)",https://api.dictionaryapi.dev/api/v2/entries/en/among
51,amount,"('The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).',)",https://api.dictionaryapi.dev/api/v2/entries/en/amount
52,ancient,"('A person who is very old.',)",https://api.dictionaryapi.dev/api/v2/entries/en/ancient
53,and,"('In rhythm, the second half of a divided beat.',)",https://api.dictionaryapi.dev/api/v2/entries/en/and
54,anger,"('A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm.',)",https://api.dictionaryapi.dev/api/v2/entries/en/anger
55,angle,"('A figure formed by two rays which start from a common point (a plane angle) or by three planes that intersect (a solid angle).',)",https://api.dictionaryapi.dev/api/v2/entries/en/angle
56,angry,"('Displaying or feeling anger.',)",https://api.dictionaryapi.dev/api/v2/entries/en/angry
57,animal,"('In scientific usage, a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants).',)",https://api.dictionaryapi.dev/api/v2/entries/en/animal
58,announce,"('To give public notice, especially for the first time; to make known',)",https://api.dictionaryapi.dev/api/v2/entries/en/announce
59,another,"('An additional one of the same kind.',)",https://api.dictionaryapi.dev/api/v2/entries/en/another
60,answer,"('A response or reply; something said or done in reaction to a statement or question.',)",https://api.dictionaryapi.dev/api/v2/entries/en/answer
61,any,"('To even the slightest extent, at all.',)",https://api.dictionaryapi.dev/api/v2/entries/en/any
62,anyone,"('Any person; anybody.',)",https://api.dictionaryapi.dev/api/v2/entries/en/anyone
63,anything,"('Someone or something of importance.',)",https://api.dictionaryapi.dev/api/v2/entries/en/anything
64,anyway,"('Regardless; anyhow.',)",https://api.dictionaryapi.dev/api/v2/entries/en/anyway
65,anywhere,"('In or at any location or an unknown location.',)",https://api.dictionaryapi.dev/api/v2/entries/en/anywhere
66,apart,"('(Used after a noun or in the predicate) Exceptional, distinct.',)",https://api.dictionaryapi.dev/api/v2/entries/en/apart
67,apartment,"('A complete domicile occupying only part of a building, especially one for rent; a flat.',)",https://api.dictionaryapi.dev/api/v2/entries/en/apartment
68,apparent,"('Capable of being seen, or easily seen; open to view; visible to the eye, eyely; within sight or view.',)",https://api.dictionaryapi.dev/api/v2/entries/en/apparent
69,appear,"('To come or be in sight; to be in view; to become visible.',)",https://api.dictionaryapi.dev/api/v2/entries/en/appear
70,apple,"('A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.',)",https://api.dictionaryapi.dev/api/v2/entries/en/apple
71,apply,"('To lay or place; to put (one thing to another)',)",https://api.dictionaryapi.dev/api/v2/entries/en/apply
72,approach,"('The act of drawing near; a coming or advancing near.',)",https://api.dictionaryapi.dev/api/v2/entries/en/approach
73,area,"('A measure of the extent of a surface; it is measured in square units.',)",https://api.dictionaryapi.dev/api/v2/entries/en/area
74,argue,"('To show grounds for concluding (that); to indicate, imply.',)",https://api.dictionaryapi.dev/api/v2/entries/en/argue
75,arm,"('The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.',)",https://api.dictionaryapi.dev/api/v2/entries/en/arm
76,army,"('A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations.',)",https://api.dictionaryapi.dev/api/v2/entries/en/army
77,around,"('(with the verb ""to be"") Present in the vicinity.',)",https://api.dictionaryapi.dev/api/v2/entries/en/around
78,arrange,"('To set up; to organize; to put into an orderly sequence or arrangement.',)",https://api.dictionaryapi.dev/api/v2/entries/en/arrange
79,arrive,"('To reach; to get to a certain place.',)",https://api.dictionaryapi.dev/api/v2/entries/en/arrive
80,art,"('The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.',)",https://api.dictionaryapi.dev/api/v2/entries/en/art
81,article,"('A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.',)",https://api.dictionaryapi.dev/api/v2/entries/en/article
82,artist,"('A person who creates art.',)",https://api.dictionaryapi.dev/api/v2/entries/en/artist
83,as,"('To such an extent or degree; to the same extent or degree.',)",https://api.dictionaryapi.dev/api/v2/entries/en/as
84,ask,"('An act or instance of asking.',)",https://api.dictionaryapi.dev/api/v2/entries/en/ask
85,assume,"('To authenticate by means of belief; to surmise; to suppose to be true, especially without proof',)",https://api.dictionaryapi.dev/api/v2/entries/en/assume
86,at,,https://api.dictionaryapi.dev/api/v2/entries/en/at
87,attend,"('To listen to (something or someone); to pay attention to; regard; heed.',)",https://api.dictionaryapi.dev/api/v2/entries/en/attend
88,attention,"('Mental focus.',)",https://api.dictionaryapi.dev/api/v2/entries/en/attention
89,attitude,"('The position of the body or way of carrying oneself.',)",https://api.dictionaryapi.dev/api/v2/entries/en/attitude
90,attract,,https://api.dictionaryapi.dev/api/v2/entries/en/attract
91,audience,"('A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc.',)",https://api.dictionaryapi.dev/api/v2/entries/en/audience
92,author,,https://api.dictionaryapi.dev/api/v2/entries/en/author
93,available,,https://api.dictionaryapi.dev/api/v2/entries/en/available
94,average,"('The arithmetic mean.',)",https://api.dictionaryapi.dev/api/v2/entries/en/average
95,avoid,"('To try not to meet or communicate with (a person); to shun',)",https://api.dictionaryapi.dev/api/v2/entries/en/avoid
96,away,"('To depart; to go to another place.',)",https://api.dictionaryapi.dev/api/v2/entries/en/away
97,baby,,https://api.dictionaryapi.dev/api/v2/entries/en/baby
98,back,,https://api.dictionaryapi.dev/api/v2/entries/en/back
99,bad,,https://api.dictionaryapi.dev/api/v2/entries/en/bad
100,bag,"('A flexible container made of cloth, paper, plastic, etc.',)",https://api.dictionaryapi.dev/api/v2/entries/en/bag
101,balance,,https://api.dictionaryapi.dev/api/v2/entries/en/balance
102,ball,,https://api.dictionaryapi.dev/api/v2/entries/en/ball
103,bank,"('An institution where one can place and borrow money and take care of financial affairs.',)",https://api.dictionaryapi.dev/api/v2/entries/en/bank
104,bar,"('A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.',)",https://api.dictionaryapi.dev/api/v2/entries/en/bar
105,base,"('Something from which other things extend; a foundation.',)",https://api.dictionaryapi.dev/api/v2/entries/en/base
106,basis,"('A physical base or foundation.',)",https://api.dictionaryapi.dev/api/v2/entries/en/basis
107,battle,,https://api.dictionaryapi.dev/api/v2/entries/en/battle
108,be,,https://api.dictionaryapi.dev/api/v2/entries/en/be
109,bear,,https://api.dictionaryapi.dev/api/v2/entries/en/bear
110,beat,,https://api.dictionaryapi.dev/api/v2/entries/en/beat
111,beautiful,,https://api.dictionaryapi.dev/api/v2/entries/en/beautiful
112,beauty,,https://api.dictionaryapi.dev/api/v2/entries/en/beauty
113,because,"('For the reason (that).',)",https://api.dictionaryapi.dev/api/v2/entries/en/because
114,become,,https://api.dictionaryapi.dev/api/v2/entries/en/become
115,bed,,https://api.dictionaryapi.dev/api/v2/entries/en/bed
116,bedroom,,https://api.dictionaryapi.dev/api/v2/entries/en/bedroom
117,beer,,https://api.dictionaryapi.dev/api/v2/entries/en/beer
118,before,,https://api.dictionaryapi.dev/api/v2/entries/en/before
119,begin,,https://api.dictionaryapi.dev/api/v2/entries/en/begin
120,behind,,https://api.dictionaryapi.dev/api/v2/entries/en/behind
121,believe,,https://api.dictionaryapi.dev/api/v2/entries/en/believe
122,bell,,https://api.dictionaryapi.dev/api/v2/entries/en/bell
123,belong,,https://api.dictionaryapi.dev/api/v2/entries/en/belong
124,below,,https://api.dictionaryapi.dev/api/v2/entries/en/below
125,beneath,,https://api.dictionaryapi.dev/api/v2/entries/en/beneath
126,benefit,,https://api.dictionaryapi.dev/api/v2/entries/en/benefit
127,beside,,https://api.dictionaryapi.dev/api/v2/entries/en/beside
128,best,,https://api.dictionaryapi.dev/api/v2/entries/en/best
129,better,,https://api.dictionaryapi.dev/api/v2/entries/en/better
130,between,,https://api.dictionaryapi.dev/api/v2/entries/en/between
131,beyond,,https://api.dictionaryapi.dev/api/v2/entries/en/beyond
132,big,,https://api.dictionaryapi.dev/api/v2/entries/en/big
133,bill,,https://api.dictionaryapi.dev/api/v2/entries/en/bill
134,bird,,https://api.dictionaryapi.dev/api/v2/entries/en/bird
135,birth,,https://api.dictionaryapi.dev/api/v2/entries/en/birth
136,bit,,https://api.dictionaryapi.dev/api/v2/entries/en/bit
137,black,,https://api.dictionaryapi.dev/api/v2/entries/en/black
138,blame,,https://api.dictionaryapi.dev/api/v2/entries/en/blame
139,blank,,https://api.dictionaryapi.dev/api/v2/entries/en/blank
140,block,,https://api.dictionaryapi.dev/api/v2/entries/en/block
141,blood,,https://api.dictionaryapi.dev/api/v2/entries/en/blood
142,blow,,https://api.dictionaryapi.dev/api/v2/entries/en/blow
143,blue,,https://api.dictionaryapi.dev/api/v2/entries/en/blue
144,board,,https://api.dictionaryapi.dev/api/v2/entries/en/board
145,boat,,https://api.dictionaryapi.dev/api/v2/entries/en/boat
146,body,,https://api.dictionaryapi.dev/api/v2/entries/en/body
147,bone,,https://api.dictionaryapi.dev/api/v2/entries/en/bone
148,book,,https://api.dictionaryapi.dev/api/v2/entries/en/book
149,border,,https://api.dictionaryapi.dev/api/v2/entries/en/border
150,born,,https://api.dictionaryapi.dev/api/v2/entries/en/born
151,boss,,https://api.dictionaryapi.dev/api/v2/entries/en/boss
152,both,,https://api.dictionaryapi.dev/api/v2/entries/en/both
153,bother,,https://api.dictionaryapi.dev/api/v2/entries/en/bother
154,bottle,,https://api.dictionaryapi.dev/api/v2/entries/en/bottle
155,bottom,,https://api.dictionaryapi.dev/api/v2/entries/en/bottom
156,boundary,,https://api.dictionaryapi.dev/api/v2/entries/en/boundary
157,box,,https://api.dictionaryapi.dev/api/v2/entries/en/box
158,boy,,https://api.dictionaryapi.dev/api/v2/entries/en/boy
159,brain,,https://api.dictionaryapi.dev/api/v2/entries/en/brain
160,branch,,https://api.dictionaryapi.dev/api/v2/entries/en/branch
161,brass,,https://api.dictionaryapi.dev/api/v2/entries/en/brass
162,bread,,https://api.dictionaryapi.dev/api/v2/entries/en/bread
163,break,,https://api.dictionaryapi.dev/api/v2/entries/en/break
164,breakfast,,https://api.dictionaryapi.dev/api/v2/entries/en/breakfast
165,breath,,https://api.dictionaryapi.dev/api/v2/entries/en/breath
166,breathe,,https://api.dictionaryapi.dev/api/v2/entries/en/breathe
167,bridge,,https://api.dictionaryapi.dev/api/v2/entries/en/bridge
168,brief,,https://api.dictionaryapi.dev/api/v2/entries/en/brief
169,bright,,https://api.dictionaryapi.dev/api/v2/entries/en/bright
170,bring,,https://api.dictionaryapi.dev/api/v2/entries/en/bring
171,broad,,https://api.dictionaryapi.dev/api/v2/entries/en/broad
172,broken,,https://api.dictionaryapi.dev/api/v2/entries/en/broken
173,brother,,https://api.dictionaryapi.dev/api/v2/entries/en/brother
174,brown,,https://api.dictionaryapi.dev/api/v2/entries/en/brown
175,brush,,https://api.dictionaryapi.dev/api/v2/entries/en/brush
176,budget,,https://api.dictionaryapi.dev/api/v2/entries/en/budget
177,build,,https://api.dictionaryapi.dev/api/v2/entries/en/build
178,building,,https://api.dictionaryapi.dev/api/v2/entries/en/building
179,bunch,,https://api.dictionaryapi.dev/api/v2/entries/en/bunch
180,burn,,https://api.dictionaryapi.dev/api/v2/entries/en/burn
181,bus,,https://api.dictionaryapi.dev/api/v2/entries/en/bus
182,business,,https://api.dictionaryapi.dev/api/v2/entries/en/business
183,busy,,https://api.dictionaryapi.dev/api/v2/entries/en/busy
184,but,,https://api.dictionaryapi.dev/api/v2/entries/en/but
185,buy,,https://api.dictionaryapi.dev/api/v2/entries/en/buy
186,by,,https://api.dictionaryapi.dev/api/v2/entries/en/by
187,cabinet,,https://api.dictionaryapi.dev/api/v2/entries/en/cabinet
188,cake,,https://api.dictionaryapi.dev/api/v2/entries/en/cake
189,call,,https://api.dictionaryapi.dev/api/v2/entries/en/call
190,calm,,https://api.dictionaryapi.dev/api/v2/entries/en/calm
191,camera,,https://api.dictionaryapi.dev/api/v2/entries/en/camera
192,camp,,https://api.dictionaryapi.dev/api/v2/entries/en/camp
193,campaign,,https://api.dictionaryapi.dev/api/v2/entries/en/campaign
194,can,,https://api.dictionaryapi.dev/api/v2/entries/en/can
195,capable,,https://api.dictionaryapi.dev/api/v2/entries/en/capable
196,capacity,,https://api.dictionaryapi.dev/api/v2/entries/en/capacity
197,capital,,https://api.dictionaryapi.dev/api/v2/entries/en/capital
198,capture,,https://api.dictionaryapi.dev/api/v2/entries/en/capture
199,car,,https://api.dictionaryapi.dev/api/v2/entries/en/car
200,carbon,,https://api.dictionaryapi.dev/api/v2/entries/en/carbon
201,card,,https://api.dictionaryapi.dev/api/v2/entries/en/card
202,care,,https://api.dictionaryapi.dev/api/v2/entries/en/care
203,career,,https://api.dictionaryapi.dev/api/v2/entries/en/career
204,careful,,https://api.dictionaryapi.dev/api/v2/entries/en/careful
205,carry,,https://api.dictionaryapi.dev/api/v2/entries/en/carry
206,case,,https://api.dictionaryapi.dev/api/v2/entries/en/case
207,cash,,https://api.dictionaryapi.dev/api/v2/entries/en/cash
208,catch,,https://api.dictionaryapi.dev/api/v2/entries/en/catch
209,category,,https://api.dictionaryapi.dev/api/v2/entries/en/category
210,cause,,https://api.dictionaryapi.dev/api/v2/entries/en/cause
211,cell,,https://api.dictionaryapi.dev/api/v2/entries/en/cell
212,cent,,https://api.dictionaryapi.dev/api/v2/entries/en/cent
213,center,,https://api.dictionaryapi.dev/api/v2/entries/en/center
214,central,,https://api.dictionaryapi.dev/api/v2/entries/en/central
215,century,,https://api.dictionaryapi.dev/api/v2/entries/en/century
216,certain,,https://api.dictionaryapi.dev/api/v2/entries/en/certain
217,certainly,,https://api.dictionaryapi.dev/api/v2/entries/en/certainly
218,chair,,https://api.dictionaryapi.dev/api/v2/entries/en/chair
219,challenge,,https://api.dictionaryapi.dev/api/v2/entries/en/challenge
220,chance,,https://api.dictionaryapi.dev/api/v2/entries/en/chance
221,change,,https://api.dictionaryapi.dev/api/v2/entries/en/change
222,character,,https://api.dictionaryapi.dev/api/v2/entries/en/character
223,charge,,https://api.dictionaryapi.dev/api/v2/entries/en/charge
224,cheap,,https://api.dictionaryapi.dev/api/v2/entries/en/cheap
225,check,,https://api.dictionaryapi.dev/api/v2/entries/en/check
226,chemical,,https://api.dictionaryapi.dev/api/v2/entries/en/chemical
227,chief,,https://api.dictionaryapi.dev/api/v2/entries/en/chief
228,child,,https://api.dictionaryapi.dev/api/v2/entries/en/child
229,choice,,https://api.dictionaryapi.dev/api/v2/entries/en/choice
230,choose,,https://api.dictionaryapi.dev/api/v2/entries/en/choose
231,church,,https://api.dictionaryapi.dev/api/v2/entries/en/church
232,circle,,https://api.dictionaryapi.dev/api/v2/entries/en/circle
233,circumstance,,https://api.dictionaryapi.dev/api/v2/entries/en/circumstance
234,citizen,,https://api.dictionaryapi.dev/api/v2/entries/en/citizen
235,city,,https://api.dictionaryapi.dev/api/v2/entries/en/city
236,civil,,https://api.dictionaryapi.dev/api/v2/entries/en/civil
237,claim,,https://api.dictionaryapi.dev/api/v2/entries/en/claim
238,class,,https://api.dictionaryapi.dev/api/v2/entries/en/class
239,clean,,https://api.dictionaryapi.dev/api/v2/entries/en/clean
240,clear,,https://api.dictionaryapi.dev/api/v2/entries/en/clear
241,clearly,,https://api.dictionaryapi.dev/api/v2/entries/en/clearly
242,climate,,https://api.dictionaryapi.dev/api/v2/entries/en/climate
243,climb,,https://api.dictionaryapi.dev/api/v2/entries/en/climb
244,clock,,https://api.dictionaryapi.dev/api/v2/entries/en/clock
245,close,,https://api.dictionaryapi.dev/api/v2/entries/en/close
246,closely,,https://api.dictionaryapi.dev/api/v2/entries/en/closely
247,clothes,,https://api.dictionaryapi.dev/api/v2/entries/en/clothes
248,cloud,,https://api.dictionaryapi.dev/api/v2/entries/en/cloud
249,club,,https://api.dictionaryapi.dev/api/v2/entries/en/club
250,coach,,https://api.dictionaryapi.dev/api/v2/entries/en/coach
251,coal,,https://api.dictionaryapi.dev/api/v2/entries/en/coal
252,coast,,https://api.dictionaryapi.dev/api/v2/entries/en/coast
253,coat,,https://api.dictionaryapi.dev/api/v2/entries/en/coat
254,code,,https://api.dictionaryapi.dev/api/v2/entries/en/code
255,coffee,,https://api.dictionaryapi.dev/api/v2/entries/en/coffee
256,cold,,https://api.dictionaryapi.dev/api/v2/entries/en/cold
257,collapse,,https://api.dictionaryapi.dev/api/v2/entries/en/collapse
258,collect,,https://api.dictionaryapi.dev/api/v2/entries/en/collect
259,college,,https://api.dictionaryapi.dev/api/v2/entries/en/college
260,color,,https://api.dictionaryapi.dev/api/v2/entries/en/color
261,column,,https://api.dictionaryapi.dev/api/v2/entries/en/column
262,combat,,https://api.dictionaryapi.dev/api/v2/entries/en/combat
263,combination,,https://api.dictionaryapi.dev/api/v2/entries/en/combination
264,come,,https://api.dictionaryapi.dev/api/v2/entries/en/come
265,comfort,,https://api.dictionaryapi.dev/api/v2/entries/en/comfort
266,comfortable,,https://api.dictionaryapi.dev/api/v2/entries/en/comfortable
267,command,,https://api.dictionaryapi.dev/api/v2/entries/en/command
268,comment,,https://api.dictionaryapi.dev/api/v2/entries/en/comment
269,commercial,,https://api.dictionaryapi.dev/api/v2/entries/en/commercial
270,commit,,https://api.dictionaryapi.dev/api/v2/entries/en/commit
271,committee,,https://api.dictionaryapi.dev/api/v2/entries/en/committee
272,common,,https://api.dictionaryapi.dev/api/v2/entries/en/common
273,communicate,,https://api.dictionaryapi.dev/api/v2/entries/en/communicate
274,community,,https://api.dictionaryapi.dev/api/v2/entries/en/community
275,company,,https://api.dictionaryapi.dev/api/v2/entries/en/company
276,compare,,https://api.dictionaryapi.dev/api/v2/entries/en/compare
277,competition,,https://api.dictionaryapi.dev/api/v2/entries/en/competition
278,complete,,https://api.dictionaryapi.dev/api/v2/entries/en/complete
279,completely,,https://api.dictionaryapi.dev/api/v2/entries/en/completely
280,complex,,https://api.dictionaryapi.dev/api/v2/entries/en/complex
281,concern,,https://api.dictionaryapi.dev/api/v2/entries/en/concern
282,condition,,https://api.dictionaryapi.dev/api/v2/entries/en/condition
283,conference,,https://api.dictionaryapi.dev/api/v2/entries/en/conference
284,confidence,,https://api.dictionaryapi.dev/api/v2/entries/en/confidence
285,confirm,,https://api.dictionaryapi.dev/api/v2/entries/en/confirm
286,conflict,,https://api.dictionaryapi.dev/api/v2/entries/en/conflict
287,confuse,,https://api.dictionaryapi.dev/api/v2/entries/en/confuse
288,congress,,https://api.dictionaryapi.dev/api/v2/entries/en/congress
289,connect,,https://api.dictionaryapi.dev/api/v2/entries/en/connect
290,connection,,https://api.dictionaryapi.dev/api/v2/entries/en/connection
291,conscious,,https://api.dictionaryapi.dev/api/v2/entries/en/conscious
292,consequence,,https://api.dictionaryapi.dev/api/v2/entries/en/consequence
293,conservative,,https://api.dictionaryapi.dev/api/v2/entries/en/conservative
294,consider,,https://api.dictionaryapi.dev/api/v2/entries/en/consider
295,considerable,,https://api.dictionaryapi.dev/api/v2/entries/en/considerable
296,consist,,https://api.dictionaryapi.dev/api/v2/entries/en/consist
297,constant,,https://api.dictionaryapi.dev/api/v2/entries/en/constant
298,construct,,https://api.dictionaryapi.dev/api/v2/entries/en/construct
299,consultant,,https://api.dictionaryapi.dev/api/v2/entries/en/consultant
300,contain,,https://api.dictionaryapi.dev/api/v2/entries/en/contain
301,container,,https://api.dictionaryapi.dev/api/v2/entries/en/container
302,content,,https://api.dictionaryapi.dev/api/v2/entries/en/content
303,contest,,https://api.dictionaryapi.dev/api/v2/entries/en/contest
304,context,,https://api.dictionaryapi.dev/api/v2/entries/en/context
305,continue,,https://api.dictionaryapi.dev/api/v2/entries/en/continue
306,contract,,https://api.dictionaryapi.dev/api/v2/entries/en/contract
307,contrast,,https://api.dictionaryapi.dev/api/v2/entries/en/contrast
308,contribute,,https://api.dictionaryapi.dev/api/v2/entries/en/contribute
309,control,,https://api.dictionaryapi.dev/api/v2/entries/en/control
310,controversy,,https://api.dictionaryapi.dev/api/v2/entries/en/controversy
311,convention,,https://api.dictionaryapi.dev/api/v2/entries/en/convention
312,conversation,,https://api.dictionaryapi.dev/api/v2/entries/en/conversation
313,convert,,https://api.dictionaryapi.dev/api/v2/entries/en/convert
314,convince,,https://api.dictionaryapi.dev/api/v2/entries/en/convince
315,cook,,https://api.dictionaryapi.dev/api/v2/entries/en/cook
316,copy,"('The result of copying; an identical duplicate of an original.',)",https://api.dictionaryapi.dev/api/v2/entries/en/copy
317,corner,,https://api.dictionaryapi.dev/api/v2/entries/en/corner
318,corporate,,https://api.dictionaryapi.dev/api/v2/entries/en/corporate
319,correct,,https://api.dictionaryapi.dev/api/v2/entries/en/correct
320,cost,,https://api.dictionaryapi.dev/api/v2/entries/en/cost
321,could,,https://api.dictionaryapi.dev/api/v2/entries/en/could
322,council,,https://api.dictionaryapi.dev/api/v2/entries/en/council
323,count,,https://api.dictionaryapi.dev/api/v2/entries/en/count
324,country,,https://api.dictionaryapi.dev/api/v2/entries/en/country
325,county,,https://api.dictionaryapi.dev/api/v2/entries/en/county
326,couple,,https://api.dictionaryapi.dev/api/v2/entries/en/couple
327,courage,,https://api.dictionaryapi.dev/api/v2/entries/en/courage
328,course,"('A sequence of events.',)",https://api.dictionaryapi.dev/api/v2/entries/en/course
329,court,,https://api.dictionaryapi.dev/api/v2/entries/en/court
330,cover,"('A lid.',)",https://api.dictionaryapi.dev/api/v2/entries/en/cover
331,crack,,https://api.dictionaryapi.dev/api/v2/entries/en/crack
332,craft,,https://api.dictionaryapi.dev/api/v2/entries/en/craft
333,crash,"('A sudden, intense, loud sound, as made for example by cymbals.',)",https://api.dictionaryapi.dev/api/v2/entries/en/crash
334,crazy,"('An insane or eccentric person; a crackpot.',)",https://api.dictionaryapi.dev/api/v2/entries/en/crazy
